"community_id","size","label"
1,1842,"Pro-AMLO, Morena, and Fourth Transformation (4T) supporter groups"
45,1665,"African entertainment, news, community groups, music, religion, and marketplace"
2,1133,"Brazilian political groups_ pro-Bolsonaro, pro-Lula, left vs right"
6,889,"Pro-Gustavo Petro, Colombia Humana, Pacto Histórico, anti-Uribe activism"
8,804,"Argentine Kirchnerist and Peronist political support and discussion groups"
100,795,"Online casino freeplay groups featuring Juwa, Orion Stars, Fire Kirin"
21,728,"Latin American interest groups, religious devotion, celebrity fans, local classifieds"
40,615,"African Christian ministries, gospel celebrities, fashion, and entertainment fan groups"
22,609,"Celebrity and TV Show Fan Groups, Housing, Pets, and Faith"
19,474,"Peruvian left-wing politics, anti-Fujimorismo, regional news, employment groups"
13,437,"Ukrainian news, patriotism, diaspora, and job opportunities in Europe"
15,384,"Rwanda and Burundi music, media, sports, and fan communities"
4,345,"Southern Africa and Kenya social groups, jobs, music, jokes, love"
3,338,"Buy-sell groups, celebrity fan pages, local classifieds, and communities"
14,270,"Indonesian home design, online shopping, recipes, Islamic inspiration, social aid"
11,231,"Liberal and anti-conservative political groups in US and Poland"
41,220,"Indonesian celebrity fans, religious groups, giveaways, business and kuliner"
5,213,"Czech and Slovak nationalist, anti-EU, pro-Russia, anti-establishment groups"
60,208,"Local news, classifieds, fan groups, and marketplace communities Latin America"
42,197,"Sabah and Malaysian local community, marketplace, and news groups"
168,176,"Hausa language entertainment, religious, and celebrity fan groups and news"
7,136,"Pro-Trump, Conservative, Anti-Biden, Republican Support and Meme Groups"
120,107,"Brazilian online casino and betting platforms with signup bonuses"
47,99,"Used motorcycle sales groups in Bogor, Bekasi, Cikarang areas"
30,82,"Japanese business networking, side jobs, and nationalist political groups"
12,70,"Diverse interest groups_ religion, business, fandoms, sales, and local news"
32,70,"Pro-AfD, German nationalist, anti-government, and anti-Green political groups"
147,66,"Buy and sell groups Palu and Central Sulawesi region"
69,65,"Yamaha two-stroke motorcycle sales and communities in Indonesia"
116,65,"Myanmar online shopping, jobs, literature, and Thailand migrant support"
46,61,"Samarinda and Kutai community groups and local marketplace networks"
63,57,"Gorontalo regional news, marketplace, and community groups network"
31,49,"Armenian news, politics, diaspora, and community information network"
161,48,"Buy and sell groups for Indonesian cities and regions"
114,43,"Ehsaas Program, Imran Khan Fans, Pakistani Regional Groups"
35,41,"Bitung news and online marketplace groups"
87,40,"Real estate and local trading groups in Myanmar"
172,37,"Crypto airdrops, mining, and Indonesian cryptocurrency communities"
82,36,"French Yellow Vests and Insoumise Political Activism Network"
56,35,"Timor-Leste online marketplaces, job listings, and media pages"
107,34,"Anti-BJP, AAP and Opposition Supporters, Political Activists, Journalists Fans"
140,34,"Burmese news and media community groups and pages"
193,34,"Indian National Congress and Rahul Gandhi supporter groups"
17,33,"Used motorcycle and auto parts trading groups in Central Java"
39,33,"Norwegian nationalist and anti-globalist political activism groups"
115,32,"Spanish right-wing political discussion and anti-government activism"
55,31,"Buy and sell groups for Solo Raya and Central Java"
34,30,"Cikampek area buy, sell, and food marketplace groups"
16,28,"Local community groups and marketplaces in East Java, Indonesia"
